# gunzip -c exp/tri2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Jun 18 22:23:38 CST 2018
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (25,31.6,60) frames.
Overall, eh accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.8,29) frames.
Overall, p accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,21) frames.
Overall, d accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,12) frames.
Overall, dh accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,19) frames.
Overall, ae accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (24,24.8,41) frames.
Overall, ey accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,22.5,41) frames.
Overall, ah accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.2,29) frames.
Overall, aa accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,21.8,39) frames.
Overall, w accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.7,34) frames.
Overall, f accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,21.6,33) frames.
Overall, b accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,16) frames.
Overall, v accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.3,22) frames.
Overall, uw accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.6,39) frames.
Overall, ay accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (27,28.6,51) frames.
Overall, ao accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (22,22.6,43) frames.
Overall, dx accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,11) frames.
Overall, hh accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.3,25) frames.
Overall, ow accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (22,23.3,41) frames.
Overall, sh accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (27,27.5,39) frames.
Overall, ng accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.4,30) frames.
Overall, g accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,15) frames.
Overall, jh accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.5,25) frames.
Overall, y accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.4,31) frames.
Overall, el accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (19,20.4,36) frames.
Overall, epi accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,14) frames.
Overall, ch accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (19,19.7,30) frames.
Overall, th accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.3,32) frames.
Overall, aw accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (30,32.0,53) frames.
The optional-silence phone sil occupies 12.6% of frames overall 
Limiting the stats to the 88.7% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 1.5% of frames.
Assuming 100 frames per second, the alignments represent 6.2 hours of data, or 5.5 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.7% of utterance-internal phones, with duration (median, mean, 95-percentile) = (26,32.8,81)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Jun 18 22:23:38 CST 2018, elapsed time 0 seconds
